group,source_dir,scene,has_foundation_reference,fixed69_status,height,width,crop_y0,crop_y1,crop_x0,crop_x1,feature_matches,median_vertical_residual_px,p90_vertical_residual_px,geometry_status,igev_ms,las_ms,igev_finite_pct,igev_positive_pct,igev_disp_min,igev_disp_p01,igev_disp_median,igev_disp_p99,igev_disp_max,las_finite_pct,las_positive_pct,las_disp_min,las_disp_p01,las_disp_median,las_disp_p99,las_disp_max,inter_model_mae_px,inter_model_median_px,inter_model_p95_px,inter_model_bad3_pct,inter_model_correlation,igev_epe,igev_d1,igev_bad1,igev_bad2,igev_bad3,igev_valid_pixels,igev_reference_coverage_pct,las_epe,las_d1,las_bad1,las_bad2,las_bad3,las_valid_pixels,las_reference_coverage_pct,igev_cloud_points,igev_cloud_coverage_pct,igev_cloud_z_p01,igev_cloud_z_median,igev_cloud_z_p99,las_cloud_points,las_cloud_coverage_pct,las_cloud_z_p01,las_cloud_z_median,las_cloud_z_p99,end_to_end_ms
fdjyp0,FDJYP-0-rectified_images,202506261651-0001,False,kept,1280,720,234,1052,126,638,171,1.1857638359069824,35.66162109375,warning,115.7857459038496,36.59678902477026,100.0,100.0,19.423336029052734,20.763795375823975,25.94652557373047,46.49993247985837,59.15146255493164,100.0,100.0,18.1733455657959,19.294229221343993,25.093975067138672,45.93828792572018,47.852622985839844,1.5094332406684428,0.5944757461547852,4.464901924133301,13.23994307762836,0.9111949774540915,,,,,,,,,,,,,,,281253,67.15431120110024,47.66865997314453,64.26630401611328,100.95506195068359,281253,67.15431120110024,47.4709440612793,64.78885650634766,103.08040252685544,623.4238031320274
fdjyp0,FDJYP-0-rectified_images,202506261652-0002,False,kept,1280,720,234,1052,126,638,357,0.6858994960784912,4.936919593811038,good,115.23944232612848,37.125247064977884,100.0,100.0,12.111273765563965,14.675500011444091,37.558929443359375,54.203558921813965,57.731719970703125,100.0,100.0,9.090629577636719,11.665216588974,37.46341323852539,55.75380363464355,58.10318374633789,2.7362908414931635,0.269256591796875,18.053993225097656,17.560694911369193,0.8840893530393674,,,,,,,,,,,,,,,330952,79.020858801956,40.6505093383789,56.14021301269531,77.2525998687744,330932,79.01608343520783,39.459951934814455,56.17956352233887,167.0144369506836,661.4730358123779
fdjyp0,FDJYP-0-rectified_images,202506261652-0003,False,kept,1280,720,234,1052,126,638,367,0.87939453125,6.508761787414555,good,113.02685597911477,36.23285191133618,100.0,99.99928369498777,-1.4471863508224487,12.585866975784302,36.69541549682617,53.372398376464844,120.50655364990234,100.0,100.0,9.789413452148438,10.921725749969482,36.53627014160156,52.738819122314446,56.39197540283203,3.177934307492242,0.262664794921875,19.143497467041016,16.072690632640587,0.6219467218929566,,,,,,,,,,,,,,,330274,78.85897386919315,42.00438674926758,57.508453369140625,76.87001770019532,330462,78.90386231662592,41.615716705322264,57.61869239807129,170.07903259277344,655.6940847076476
fdjyp0,FDJYP-0-rectified_images,202506261653-0004,False,kept,1280,720,234,1052,126,638,361,0.8949652910232544,5.074056148529053,good,115.40523078292608,36.52831166982651,100.0,100.0,2.179093599319458,13.558373069763183,36.6469612121582,52.29638309478759,57.99131774902344,100.0,100.0,9.191720962524414,11.513729095458984,36.62342834472656,53.35865478515623,58.16099548339844,2.681635345515629,0.24974822998046875,17.934732675552368,16.161751222493887,0.866993375207078,,,,,,,,,,,,,,,334431,79.85153384779952,42.13253402709961,57.4943733215332,77.51688079833986,334496,79.86705378973105,41.06945362091064,57.5266170501709,158.7348747253418,681.9429853931069
fdjyp0,FDJYP-0-rectified_images,202506261653-0005,False,kept,1280,720,234,1052,126,638,179,0.7587890625,12.646940231323276,good,114.744967315346,35.78209597617388,100.0,100.0,10.85216999053955,12.132518482208251,26.32216453552246,58.256250572204586,76.58203125,100.0,100.0,9.93429183959961,10.77476978302002,13.50503158569336,58.65055503845215,60.332847595214844,5.450026108175152,1.1225056648254395,33.98084115982056,19.60932724633252,0.8081532872131341,,,,,,,,,,,,,,,164662,39.31607197432763,37.659051666259764,42.67794418334961,176.1720654296875,164563,39.29243390892421,37.31756782531738,42.48360824584961,180.89754089355472,648.3382438309491
fdjyp0,FDJYP-0-rectified_images,202506261653-0006,False,kept,1280,720,234,1052,126,638,303,0.7579209804534912,3.304633140563965,good,115.60696316882968,36.74179734662175,100.0,100.0,9.466948509216309,10.555909729003906,15.88107681274414,51.74091873168945,69.29047393798828,100.0,100.0,8.677077293395996,9.52335820198059,11.501182556152344,51.42264709472656,52.96418762207031,3.6134772078364104,0.8911848068237305,18.101859092712402,22.47406975855746,0.8839106620258358,,,,,,,,,,,,,,,145223,34.67465426344744,42.35139404296875,50.92266082763672,192.27737548828125,143767,34.32700756418093,42.65297584533691,50.83784103393555,197.0905728149414,626.717371866107
fdjyp0,FDJYP-0-rectified_images,202506261654-0007,False,kept,1280,720,234,1052,126,638,253,0.5856662392616272,5.729307746887213,good,117.42232320830226,35.70649167522788,100.0,100.0,8.617443084716797,10.001081085205078,14.120296478271484,47.60424613952636,62.93218994140625,100.0,100.0,8.155069351196289,9.079681158065796,11.588584899902344,47.29162597656249,48.26593017578125,2.5912422711157164,0.7364020347595215,14.038969993591309,16.179181311124694,0.9173017259085358,,,,,,,,,,,,,,,136185,32.516666029951104,46.02350952148438,53.58072280883789,185.34115234375003,131927,31.4999904492665,46.25734939575195,53.29329299926758,197.22748443603518,621.5987601317465
fdjyp0,FDJYP-0-rectified_images,202506261655-0008,False,kept,1280,720,234,1052,126,638,195,1.9529080390930176,353.4230895996093,warning,113.65470895543694,36.52480896562338,100.0,100.0,13.151713371276855,13.965611267089844,34.657108306884766,39.38132801055907,40.73456573486328,100.0,100.0,11.972025871276855,13.326239204406738,34.89085388183594,39.85163688659667,42.765594482421875,1.1849420534624446,0.3954744338989258,4.57187294960022,9.217412897310513,0.9660455838954336,,,,,,,,,,,,,,,287108,68.55229981662592,55.79434375762939,60.23581886291504,140.1603479003906,287108,68.55229981662592,55.17125812530517,59.829668045043945,140.70653137207032,670.5406210385263
fdjyp0,FDJYP-0-rectified_images,202506261656-0009,False,kept,1280,720,234,1052,126,638,207,1.6245659589767456,199.34157409667972,warning,115.58150500059128,35.80146702006459,100.0,100.0,14.825979232788086,16.648915100097657,39.40073013305664,44.15533332824707,50.74444580078125,100.0,100.0,11.980725288391113,14.000126314163207,39.301513671875,45.34403648376465,58.48759078979492,1.2644304769901527,0.245025634765625,3.425112247467041,5.954643566625917,0.9100862830103126,,,,,,,,,,,,,,,326295,77.90891465464547,49.83789451599121,53.978309631347656,127.92526504516601,326295,77.90891465464547,48.21089302062988,53.79532241821289,124.09329193115234,690.1826066896319
fdjyp0,FDJYP-0-rectified_images,202506261656-0010,False,kept,1280,720,234,1052,126,638,158,0.9937472939491272,15.928602027893087,good,115.26706907898188,35.15584208071232,100.0,100.0,15.90700912475586,17.570034885406493,39.224525451660156,44.14059333801269,60.194190979003906,100.0,100.0,12.383635520935059,14.211784744262696,39.500465393066406,44.838105010986276,60.28211212158203,1.3511375176941198,0.24260330200195312,6.4903552532196045,10.10395973410758,0.9270721239948051,,,,,,,,,,,,,,,331737,79.20829194682152,49.56552215576172,54.23786544799805,123.90040374755861,331737,79.20829194682152,48.82546936035156,53.9787483215332,123.18565185546876,682.8769240528345
